LGA_CODE21,LGA_NAME21,AREASQKM21,LATITUDE,LONGITUDE
10050,Albury,305.6386,-36.0265388,146.9705259
10180,Armidale Regional,7809.4406,-30.36738262,151.8991113
10250,Ballina,484.9692,-28.85287486,153.4861571
10300,Balranald,21690.7493,-33.95033967,143.611624
10470,Bathurst Regional,3817.8645,-33.43012601,149.5256394
10500,Bayside (NSW),50.6204,-33.94951567,151.1671204
10550,Bega Valley,6278.5013,-36.82590196,149.7175934
10600,Bellingen,1600.4338,-30.40378978,152.7285963
10650,Berrigan,2065.8878,-35.73431263,145.7111803
10750,Blacktown,238.8471,-33.74093136,150.8640934
10800,Bland,8557.6536,-33.89433076,146.9612733
10850,Blayney,1524.647,-33.59431751,149.1420646
10900,Blue Mountains,1431.1442,-33.69753161,150.4111468
10950,Bogan,14599.8996,-31.53811599,146.8668791
11150,Bourke,41598.3722,-29.91058062,145.3568129
11200,Brewarrina,19162.0296,-29.79158959,146.9608837
11250,Broken Hill,170.1153,-31.9440223,141.4792749
11300,Burwood,7.1282,-33.88367353,151.1031574
11350,Byron,565.8027,-28.6041541,153.4825111
11400,Cabonne,6022.3496,-33.15298481,148.7541069
11450,Camden,201.5278,-34.00883083,150.7241994
11500,Campbelltown (NSW),311.4117,-34.08341201,150.8458632
11520,Canada Bay,19.9239,-33.85348528,151.1148308
11570,Canterbury-Bankstown,110.2374,-33.92349502,151.0373257
11600,Carrathool,18934.4853,-33.60897966,145.4964314
11650,Central Coast (NSW),1681.0059,-33.30797388,151.2854883
11700,Central Darling,53492.193,-31.85068476,143.5896984
11720,Cessnock,1965.1593,-32.92505546,151.2249055
11730,Clarence Valley,10428.6804,-29.68172552,152.7511578
11750,Cobar,45575.3512,-31.86796818,145.4828568
11800,Coffs Harbour,1173.7435,-30.1890261,153.0398402
12000,Coolamon,2430.9037,-34.63251852,147.1048388
12150,Coonamble,9916.0535,-30.87053565,148.2916132
12160,Cootamundra-Gundagai Regional,3981.4172,-34.85296219,148.0941253
12350,Cowra,2808.7821,-33.7963704,148.7179561
12380,Cumberland,72.7496,-33.84213683,150.9864653
12390,Dubbo Regional,7534.5251,-32.42470375,148.8544168
12700,Dungog,2249.9983,-32.34954786,151.6082929
12730,Edward River,8883.4463,-35.17253127,144.9414781
12750,Eurobodalla,3428.1695,-35.94514372,149.9470547
12850,Fairfield,101.5072,-33.8656217,150.8954222
12870,Federation,5684.9253,-35.49704284,146.2713721
12900,Forbes,4710.128,-33.42161871,147.8672079
12930,Georges River,38.3375,-33.97101884,151.0863636
12950,Gilgandra,4831.5057,-31.6190137,148.69074
13010,Glen Innes Severn,5479.977,-29.64497375,151.9030483
13310,Goulburn Mulwaree,3220.0796,-34.87602676,149.8134969
13340,Greater Hume Shire,5749.3875,-35.75025981,147.171835
13450,Griffith,1639.1732,-34.30039735,146.003594
13550,Gunnedah,4987.0295,-31.04653288,150.1888956
13660,Gwydir,9259.6544,-29.59346827,150.5168155
13800,Hawkesbury,2775.1378,-33.33476612,150.7732475
13850,Hay,11325.9324,-34.3158489,144.6837063
13910,Hilltops,7140.8865,-34.35199699,148.5009632
14000,Hornsby,455.0374,-33.58391775,151.0894197
14100,Hunters Hill,5.7169,-33.83333915,151.1451344
14170,Inner West,35.2115,-33.89132193,151.1549154
14220,Inverell,9404.7564,-29.41883717,151.0751814
14300,Junee,2030.0222,-34.81719376,147.6688825
14350,Kempsey,3375.6704,-30.95153403,152.6447387
14400,Kiama,257.6638,-34.67885793,150.7562296
14500,Ku-ring-gai,85.4093,-33.73459751,151.1509137
14550,Kyogle,3584.1829,-28.61778114,152.7755818
14600,Lachlan,14968.2539,-32.92009535,146.989714
14650,Lake Macquarie,648.6393,-33.03884444,151.5301876
14700,Lane Cove,10.4789,-33.81998082,151.1669008
14750,Leeton,1167.1876,-34.53235693,146.3020884
14850,Lismore,1287.7042,-28.75616218,153.2706614
14870,Lithgow,4512.2561,-33.27766196,150.1789617
14900,Liverpool,305.7401,-33.93595834,150.8252125
14920,Liverpool Plains,5082.2398,-31.55060702,150.438422
14950,Lockhart,2895.8049,-35.33125993,146.775444
15050,Maitland,391.5089,-32.71080108,151.5497612
15240,Mid-Coast,10053.8633,-32.01530318,152.0957634
15270,Mid-Western Regional,8752.2589,-32.59379774,149.7424263
15300,Moree Plains,17902.7033,-29.2530114,149.628856
15350,Mosman,8.6503,-33.82906902,151.2446406
15520,Murray River,11863.0162,-35.32469776,144.2116474
15560,Murrumbidgee,6880.7902,-34.94972132,145.7293707
15650,Muswellbrook,3404.8841,-32.43991166,150.6303015
15700,Nambucca Valley,1491.3431,-30.68754409,152.7689436
15750,Narrabri,13014.9937,-30.35647853,149.5648901
15800,Narrandera,4116.3458,-34.61124649,146.5796882
15850,Narromine,5261.5165,-32.22607615,148.0655611
15900,Newcastle,186.7255,-32.88004422,151.6956984
15950,North Sydney,10.491,-33.83294406,151.2118688
15990,Northern Beaches,254.2072,-33.69022404,151.2496758
16100,Oberon,3625.047,-33.8832786,149.8114064
16150,Orange,284.2159,-33.32464865,149.1203795
16200,Parkes,5957.6137,-32.8809984,147.9614288
16260,Parramatta,83.8303,-33.79933045,151.0293126
16350,Penrith,404.7021,-33.76535956,150.7180761
16380,Port Macquarie-Hastings,3682.3915,-31.4097479,152.5312165
16400,Port Stephens,858.4357,-32.72178253,151.8447276
16490,Queanbeyan-Palerang Regional,5319.0075,-35.4227418,149.6271766
16550,Randwick,36.331,-33.94322625,151.2402149
16610,Richmond Valley,3047.3748,-29.05961479,153.0462874
16700,Ryde,40.4746,-33.79912609,151.1105678
16900,Shellharbour,147.4208,-34.58267962,150.7738739
16950,Shoalhaven,4567.2011,-35.09441397,150.3733167
17000,Singleton,4892.7168,-32.66036577,150.9645387
17040,Snowy Monaro Regional,15164.7904,-36.39646235,148.9588738
17080,Snowy Valleys,8958.9215,-35.73377205,148.2492042
17100,Strathfield,14.0008,-33.88041305,151.0764426
17150,Sutherland Shire,333.5806,-34.07512759,151.0510157
17200,Sydney,26.6762,-33.88944239,151.2027615
17310,Tamworth Regional,9884.3505,-30.89250423,150.9070639
17350,Temora,2802.0159,-34.38792659,147.4836622
17400,Tenterfield,7324.3072,-28.9438106,152.0863957
17420,The Hills Shire,386.1583,-33.58824783,150.9620396
17550,Tweed,1307.7853,-28.35997061,153.356297
17620,Upper Hunter Shire,8096.0889,-31.96924253,150.7265271
17640,Upper Lachlan Shire,7127.3957,-34.41770949,149.4556751
17650,Uralla,3226.5327,-30.5076629,151.312335
17750,Wagga Wagga,4824.4888,-35.19660368,147.3663568
17850,Walcha,6261.0243,-31.16388934,151.7845344
17900,Walgett,22308.2528,-29.81666488,148.1944595
17950,Warren,10753.7672,-31.32563982,147.6798502
18020,Warrumbungle Shire,12372.12,-31.46279395,149.4053985
18050,Waverley,9.3506,-33.89003827,151.2668515
18100,Weddin,3414.8566,-33.87190036,148.0112492
18200,Wentworth,26255.9338,-33.57019715,142.2428975
18250,Willoughby,22.4257,-33.80108572,151.196376
18350,Wingecarribee,2689.3415,-34.47692414,150.3562646
18400,Wollondilly,2555.4341,-34.10192822,150.4438006
18450,Wollongong,684.3076,-34.36883817,150.8371458
18500,Woollahra,12.2584,-33.87168279,151.2573974
18710,Yass Valley,3995.017,-34.95416755,148.884994
19399,Unincorporated NSW,93208.9194,-30.65452348,142.2157941
19499,No usual address (NSW),0,0,0
19799,Migratory - Offshore - Shipping (NSW),0,0,0
20110,Alpine,4788.157,-36.85355584,146.9741773
20260,Ararat,4211.1172,-37.47269577,142.8431973
20570,Ballarat,739.0321,-37.49284032,143.7814768
20660,Banyule,62.5402,-37.73042782,145.0851468
20740,Bass Coast,865.8094,-38.5072755,145.5580614
20830,Baw Baw,4027.6287,-37.98398605,146.1315084
20910,Bayside (Vic.),37.2111,-37.94182591,145.0181599
21010,Benalla,2352.6398,-36.58698987,146.0237675
21110,Boroondara,60.1776,-37.81927311,145.063095
21180,Brimbank,123.3991,-37.74753977,144.8033167
21270,Buloke,7998.247,-35.91243798,143.0048505
21370,Campaspe,4519.073,-36.34516564,144.7164188
21450,Cardinia,1282.5671,-38.08300067,145.5726911
21610,Casey,409.4287,-38.10433703,145.3090168
21670,Central Goldfields,1532.7843,-37.00714921,143.7138469
21750,Colac Otway,3437.47,-38.45194766,143.5951879
21830,Corangamite,4407.492,-38.20431004,143.1986574
21890,Darebin,53.4712,-37.73344545,145.0143391
22110,East Gippsland,20939.5016,-37.3780255,148.2916948
22170,Frankston,129.5981,-38.13459505,145.1738047
22250,Gannawarra,3737.5979,-35.75152038,143.803977
22310,Glen Eira,38.6908,-37.90119267,145.0426085
22410,Glenelg,6218.7884,-37.87048377,141.3857204
22490,Golden Plains,2703.3899,-37.88205198,143.8425172
22620,Greater Bendigo,2999.9717,-36.73442798,144.422652
22670,Greater Dandenong,129.5466,-38.00557619,145.190015
22750,Greater Geelong,1247.9872,-38.06894547,144.4171684
22830,Greater Shepparton,2421.9092,-36.3969814,145.3862051
22910,Hepburn,1472.9843,-37.31692383,144.0575666
22980,Hindmarsh,7524.1823,-36.05150462,141.7525608
23110,Hobsons Bay,64.2405,-37.85470745,144.8297636
23190,Horsham,4266.769,-36.82573189,142.0904566
23270,Hume,503.8488,-37.58916906,144.8245403
23350,Indigo,2040.471,-36.22550506,146.7229556
